rank,code,code_type,lookup_status,clinical_theme,specificity_level,review_reduction_potential,risk_level,recommended_action,review_rows,provision_rows,top3_diagnosis_share,top1_diagnosis_share,unique_diagnoses,diagnosis_normalized_entropy,top_diagnosis_prefixes_for_expert_review,suggested_policy_hypothesis,top_diagnoses,current_runtime_rule_context,required_safety_gates
1,908115,sut_6_digit,present_in_rules_by_sut_code,covid_or_viral_infection,medium,high,medium,expert_review_for_cohort_auto_pass_candidate,4278,4278,0.66724304,0.60480307,216,0.42832528,B34;U07;R50;J06;R05,"Expert may evaluate whether these diagnosis prefixes can be allowed without manual review for this procedure: B34, U07, R50, J06, R05","{'value': 'B34.2', 'count': 3148};{'value': 'U07.3', 'count': 180};{'value': 'R50.9', 'count': 145};{'value': 'J06.9', 'count': 120};{'value': 'R05', 'count': 108};{'value': 'R53', 'count': 108};{'value': 'J02', 'count': 77};{'value': 'Z00', 'count': 73};{'value': 'J18.9', 'count': 55};{'value': 'J12.8', 'count': 54}","{""confidence"": ""medium"", ""diagnosis_policy"": ""conditional"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
2,906620,sut_6_digit,present_in_rules_by_sut_code,obstetric_pregnancy,high,high,medium,expert_review_for_cohort_auto_pass_candidate,3352,3352,0.70268899,0.52156266,320,0.44832185,R53;R68;Z00;E55;Z33,"Expert may evaluate whether these diagnosis prefixes can be allowed without manual review for this procedure: R53, R68, Z00, E55, Z33","{'value': 'R53', 'count': 2056};{'value': 'R68', 'count': 535};{'value': 'Z00.0', 'count': 179};{'value': 'E55.9', 'count': 78};{'value': 'Z33', 'count': 71};{'value': 'R10.4', 'count': 58};{'value': 'E55', 'count': 22};{'value': 'T78.4', 'count': 22};{'value': 'J30.2', 'count': 21};{'value': 'Z01', 'count': 21}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
3,13.73366,huv_or_local_dotted,missing_from_runtime_lookup,obstetric_pregnancy,high,high,high,resolve_local_huv_mapping_then_policy_refinement,2080,2080,0.76046415,0.58806465,73,0.42878665,Z33;Z36;Z34;O35,First map the local/HUV code to a canonical catalog/rule layer; do not reduce review solely from empirical data.,"{'value': 'Z33', 'count': 1419};{'value': 'Z36.3', 'count': 266};{'value': 'Z36', 'count': 150};{'value': 'Z34.8', 'count': 72};{'value': 'O35.8', 'count': 65};{'value': 'Z34', 'count': 58};{'value': 'O26.9', 'count': 40};{'value': 'Z36.4', 'count': 39};{'value': 'Z36.0', 'count': 38};{'value': 'Z32.1', 'count': 33}","{""confidence"": """", ""diagnosis_policy"": """", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": false, ""required_icd10_patterns_count"": 0, ""review_required"": null, ""runtime_decision_mode"": """"}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
4,13.62646,huv_or_local_dotted,missing_from_runtime_lookup,obstetric_pregnancy,medium,medium_high,high,resolve_local_huv_mapping_then_policy_refinement,10469,10469,0.57977513,0.43271022,308,0.51021762,Z33;Z34;O26;E55,First map the local/HUV code to a canonical catalog/rule layer; do not reduce review solely from empirical data.,"{'value': 'Z33', 'count': 6273};{'value': 'Z34', 'count': 1402};{'value': 'O26.8', 'count': 730};{'value': 'Z34.8', 'count': 494};{'value': 'E55.9', 'count': 328};{'value': 'O26', 'count': 324};{'value': 'D50', 'count': 235};{'value': 'Z34.9', 'count': 224};{'value': 'Z32.1', 'count': 213};{'value': 'Z35', 'count': 193}","{""confidence"": """", ""diagnosis_policy"": """", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": false, ""required_icd10_patterns_count"": 0, ""review_required"": null, ""runtime_decision_mode"": """"}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
5,907450,sut_6_digit,present_in_rules_by_sut_code,obstetric_pregnancy,medium,medium_high,medium,expert_review_for_cohort_auto_pass_candidate,3544,3544,0.61979522,0.47167235,390,0.4963242,R53;R68;Z33;Z00;E55,"Expert may evaluate whether these diagnosis prefixes can be allowed without manual review for this procedure: R53, R68, Z33, Z00, E55","{'value': 'R53', 'count': 2073};{'value': 'R68', 'count': 463};{'value': 'Z33', 'count': 188};{'value': 'Z00.0', 'count': 181};{'value': 'E55.9', 'count': 113};{'value': 'R10.4', 'count': 65};{'value': 'N76.0', 'count': 39};{'value': 'N92.6', 'count': 31};{'value': 'R10.2', 'count': 30};{'value': 'K30', 'count': 25}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
6,906880,sut_6_digit,present_in_rules_by_sut_code,non_specific_symptom_dominant,medium,medium_high,medium_high,expert_review_for_conditional_review_refinement,2522,2522,0.570409,0.42712051,248,0.54398673,R68;R53;Z00;E55;D50,"Expert may evaluate a conditional policy that keeps manual review except for a narrow, documented diagnosis cohort: R68, R53, Z00, E55, D50 (theme=non_specific_symptom_dominant)","{'value': 'R68', 'count': 1556};{'value': 'R53', 'count': 289};{'value': 'Z00.0', 'count': 233};{'value': 'E55.9', 'count': 220};{'value': 'D50.9', 'count': 92};{'value': 'E03.9', 'count': 65};{'value': 'D51.9', 'count': 42};{'value': 'D51.8', 'count': 40};{'value': 'E78.5', 'count': 38};{'value': 'R73.9', 'count': 38}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 1, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
7,24.60491,huv_or_local_dotted,missing_from_runtime_lookup,obstetric_pregnancy,medium,medium_high,medium_high,resolve_local_huv_mapping_then_policy_refinement,579,579,0.55072464,0.44202899,96,0.62174153,Z33;Z34;O26;O41,First map the local/HUV code to a canonical catalog/rule layer; do not reduce review solely from empirical data.,"{'value': 'Z33', 'count': 366};{'value': 'Z34', 'count': 56};{'value': 'O26.8', 'count': 34};{'value': 'O41.0', 'count': 25};{'value': 'Z34.8', 'count': 24};{'value': 'E55.9', 'count': 20};{'value': 'O36.5', 'count': 15};{'value': 'Z35.8', 'count': 15};{'value': 'D50.9', 'count': 14};{'value': 'D64', 'count': 13}","{""confidence"": """", ""diagnosis_policy"": """", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": false, ""required_icd10_patterns_count"": 0, ""review_required"": null, ""runtime_decision_mode"": """"}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
8,906640,sut_6_digit,present_in_rules_by_sut_code,obstetric_pregnancy,medium,medium,medium,manual_review_policy_observation,1151,1151,0.51631117,0.36386449,252,0.61908065,R53;R68;Z33;E55;Z00,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'R53', 'count': 580};{'value': 'R68', 'count': 173};{'value': 'Z33', 'count': 70};{'value': 'E55.9', 'count': 62};{'value': 'Z00.0', 'count': 33};{'value': 'R10.4', 'count': 30};{'value': 'N76.0', 'count': 25};{'value': 'N92.6', 'count': 23};{'value': 'R10.2', 'count': 19};{'value': 'Z01', 'count': 19}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 3, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
9,906780,sut_6_digit,present_in_rules_by_sut_code,non_specific_symptom_dominant,medium,medium,medium_high,manual_review_policy_observation,905,905,0.54371357,0.25228976,207,0.61754096,R68;R53;E55;M25;Z00,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'R68', 'count': 303};{'value': 'R53', 'count': 264};{'value': 'E55.9', 'count': 86};{'value': 'M25.5', 'count': 69};{'value': 'Z00.0', 'count': 34};{'value': 'M35.9', 'count': 25};{'value': 'M79.1', 'count': 20};{'value': 'M06.9', 'count': 18};{'value': 'M35.0', 'count': 12};{'value': 'M45.9', 'count': 12}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
10,700540,sut_6_digit,present_in_rules_by_sut_code,non_specific_symptom_dominant,medium,medium,medium_high,manual_review_policy_observation,566,566,0.50408998,0.30572597,115,0.65767357,R00;R07;I10;I49,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'R00.2', 'count': 299};{'value': 'R07.4', 'count': 107};{'value': 'I10', 'count': 87};{'value': 'R07.3', 'count': 52};{'value': 'I49.9', 'count': 39};{'value': 'R06.0', 'count': 35};{'value': 'I49', 'count': 29};{'value': 'E55.9', 'count': 20};{'value': 'R55', 'count': 18};{'value': 'R53', 'count': 18}","{""confidence"": ""medium"", ""diagnosis_policy"": ""conditional"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
11,906750,sut_6_digit,present_in_rules_by_sut_code,obstetric_pregnancy,high,medium,medium,manual_review_policy_observation,490,490,0.98778004,0.97148676,9,0.08268687,R68;F06;Z10;J45;N39,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'R68', 'count': 477};{'value': 'F06.6', 'count': 5};{'value': 'Z10.1', 'count': 3};{'value': 'J45', 'count': 1};{'value': 'N39.0', 'count': 1};{'value': 'E03', 'count': 1};{'value': 'Z33', 'count': 1};{'value': 'R60', 'count': 1};{'value': 'E55.9', 'count': 1}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
12,13.74706,huv_or_local_dotted,missing_from_runtime_lookup,obstetric_pregnancy,medium,medium,medium_high,resolve_local_huv_mapping_then_policy_refinement,482,482,0.76480541,0.49407783,31,0.52678308,Z33;Z36;Z34,First map the local/HUV code to a canonical catalog/rule layer; do not reduce review solely from empirical data.,"{'value': 'Z33', 'count': 292};{'value': 'Z36.3', 'count': 95};{'value': 'Z36', 'count': 65};{'value': 'Z36.0', 'count': 48};{'value': 'Z34.8', 'count': 14};{'value': 'Z36.4', 'count': 14};{'value': 'O26.8', 'count': 10};{'value': 'Z34', 'count': 9};{'value': 'Z36.8', 'count': 8};{'value': 'O22.4', 'count': 4}","{""confidence"": """", ""diagnosis_policy"": """", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": false, ""required_icd10_patterns_count"": 0, ""review_required"": null, ""runtime_decision_mode"": """"}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
13,700530,sut_6_digit,present_in_rules_by_sut_code,cardiology_symptom_or_monitoring,medium,medium,medium,manual_review_policy_observation,373,373,0.56239016,0.40246046,67,0.61578674,R07;I10;R06;R00,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'R07.4', 'count': 229};{'value': 'I10', 'count': 52};{'value': 'R06.0', 'count': 39};{'value': 'R00.2', 'count': 39};{'value': 'R07.3', 'count': 36};{'value': 'I25.1', 'count': 22};{'value': 'E55.9', 'count': 22};{'value': 'I49', 'count': 8};{'value': 'R10.4', 'count': 7};{'value': 'I20', 'count': 6}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
14,905680,sut_6_digit,present_in_rules_by_sut_code,non_specific_symptom_dominant,high,medium,medium,manual_review_policy_observation,325,325,0.90379009,0.86005831,26,0.24910872,R68;N39;Z00;Q61;R50,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'R68', 'count': 295};{'value': 'N39.0', 'count': 9};{'value': 'Z00.0', 'count': 6};{'value': 'Q61.8', 'count': 4};{'value': 'R50.9', 'count': 3};{'value': 'J06', 'count': 2};{'value': 'N20.0', 'count': 2};{'value': 'N39', 'count': 2};{'value': 'N30.9', 'count': 2};{'value': 'N39.9', 'count': 2}","{""confidence"": ""medium"", ""diagnosis_policy"": ""conditional"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
15,704530,sut_6_digit,present_in_rules_by_sut_code,obstetric_pregnancy,medium,medium,medium,manual_review_policy_observation,297,297,0.53996101,0.43274854,59,0.64879667,Z33;R10;Z34;N76,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'Z33', 'count': 222};{'value': 'R10.2', 'count': 32};{'value': 'Z34', 'count': 23};{'value': 'R10', 'count': 22};{'value': 'N76.0', 'count': 20};{'value': 'R25.2', 'count': 17};{'value': 'D64', 'count': 14};{'value': 'D64.9', 'count': 13};{'value': 'E55.9', 'count': 13};{'value': 'E55', 'count': 12}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
16,906630,sut_6_digit,present_in_rules_by_sut_code,obstetric_pregnancy,low,medium,medium,manual_review_policy_observation,261,261,0.50274725,0.31868132,118,0.70449436,R53;Z33;E55;Z34;R10,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'R53', 'count': 116};{'value': 'Z33', 'count': 52};{'value': 'E55.9', 'count': 15};{'value': 'Z34', 'count': 11};{'value': 'R10.4', 'count': 7};{'value': 'D64.9', 'count': 6};{'value': 'D51.9', 'count': 5};{'value': 'K21', 'count': 5};{'value': 'K30', 'count': 5};{'value': 'J30.2', 'count': 4}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 3, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
17,13.06366,huv_or_local_dotted,missing_from_runtime_lookup,genitourinary,medium,medium,medium_high,resolve_local_huv_mapping_then_policy_refinement,248,248,0.54448399,0.2455516,64,0.66974786,N86;R10;N76,First map the local/HUV code to a canonical catalog/rule layer; do not reduce review solely from empirical data.,"{'value': 'N86', 'count': 138};{'value': 'R10', 'count': 107};{'value': 'R10.2', 'count': 61};{'value': 'N76.1', 'count': 47};{'value': 'N76.0', 'count': 42};{'value': 'N92.6', 'count': 15};{'value': 'B07', 'count': 10};{'value': 'N76', 'count': 9};{'value': 'N64.4', 'count': 7};{'value': 'B37.3†', 'count': 6}","{""confidence"": """", ""diagnosis_policy"": """", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": false, ""required_icd10_patterns_count"": 0, ""review_required"": null, ""runtime_decision_mode"": """"}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
18,13.72696,huv_or_local_dotted,missing_from_runtime_lookup,obstetric_pregnancy,medium,medium,medium_high,resolve_local_huv_mapping_then_policy_refinement,243,243,0.60689655,0.41724138,44,0.64686253,Z33;O26;Z36;Z34,First map the local/HUV code to a canonical catalog/rule layer; do not reduce review solely from empirical data.,"{'value': 'Z33', 'count': 121};{'value': 'O26.8', 'count': 36};{'value': 'Z36', 'count': 19};{'value': 'Z36.0', 'count': 16};{'value': 'Z34', 'count': 11};{'value': 'Z34.8', 'count': 8};{'value': 'Z36.8', 'count': 7};{'value': 'O26.9', 'count': 7};{'value': 'Z36.3', 'count': 7};{'value': 'O26', 'count': 6}","{""confidence"": """", ""diagnosis_policy"": """", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": false, ""required_icd10_patterns_count"": 0, ""review_required"": null, ""runtime_decision_mode"": """"}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
19,906660,sut_6_digit,present_in_rules_by_sut_code,obstetric_pregnancy,low,medium,medium,manual_review_policy_observation,213,213,0.51394422,0.28685259,77,0.71115846,R53;R68;Z33;Z01;Z02,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'R53', 'count': 72};{'value': 'R68', 'count': 39};{'value': 'Z33', 'count': 18};{'value': 'Z01', 'count': 18};{'value': 'Z02.1', 'count': 10};{'value': 'D50', 'count': 3};{'value': 'E03', 'count': 3};{'value': 'E55.9', 'count': 3};{'value': 'Z34', 'count': 3};{'value': 'D76.0', 'count': 3}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
20,703790,sut_6_digit,present_in_rules_by_sut_code,eye_ear,medium,medium,medium,manual_review_policy_observation,212,212,0.50536193,0.19436997,60,0.69295521,H52;H40;H04;H43,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'H52.2', 'count': 145};{'value': 'H40.0', 'count': 144};{'value': 'H52.1', 'count': 88};{'value': 'H04.1', 'count': 55};{'value': 'H43.3', 'count': 46};{'value': 'H52.4', 'count': 37};{'value': 'H52.0', 'count': 24};{'value': 'H47.5', 'count': 22};{'value': 'H35.3', 'count': 16};{'value': 'H18.3', 'count': 15}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
21,803710,sut_6_digit,present_in_rules_by_sut_code,obstetric_pregnancy,medium,medium,medium,manual_review_policy_observation,211,211,0.59202454,0.49079755,54,0.62629754,Z33;Z34;Z35;R10;E55,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'Z33', 'count': 160};{'value': 'Z34', 'count': 22};{'value': 'Z35', 'count': 11};{'value': 'R10', 'count': 10};{'value': 'E55.9', 'count': 9};{'value': 'O20.0', 'count': 8};{'value': 'O41.0', 'count': 7};{'value': 'R10.2', 'count': 6};{'value': 'N76.0', 'count': 6};{'value': 'E03.9', 'count': 5}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
22,700270,sut_6_digit,present_in_rules_by_sut_code,digestive,medium,medium,medium,manual_review_policy_observation,201,201,0.51155116,0.39273927,62,0.69879893,B07;B34;L84;L30;L85,Keep manual review for now; use this aggregate evidence for observation and future policy refinement.,"{'value': 'B07', 'count': 119};{'value': 'B34', 'count': 19};{'value': 'L84', 'count': 17};{'value': 'L30', 'count': 11};{'value': 'L85.3', 'count': 10};{'value': 'L81', 'count': 10};{'value': 'L91', 'count': 8};{'value': 'B35.1', 'count': 7};{'value': 'B35.3', 'count': 6};{'value': 'R23', 'count': 5}","{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",official_source_or_internal_medical_committee_validation;human_admin_approval_required;shadow_only_batch_preview_before_any_live_apply;approve_to_reject_drift_must_be_zero;rollback_manifest_required;post_deployment_monitoring_required_if_later_approved
